freq,class,sub_class,name,tooltip,alias,ignore
196,VERB,NA,arrange,arrange,\barrange\b|\barranged\b|\barranges\b|\barranging\b,FALSE
196,VERB,NA,decommissioning,decommissioning,\bdecommissioning\b,FALSE
192,VERB,NA,suggest,suggest,\bsuggest\b|\bsuggested\b|\bsuggesting\b|\bsuggests\b,FALSE
191,VERB,NA,check,check,\bcheck\b|\bCheck\b|\bchecked\b|\bchecking\b|\bchecks\b,FALSE
188,VERB,NA,match,match,\bmatch\b|\bmatched\b|\bmatches\b|\bmatching\b,FALSE
186,VERB,NA,certifie,certifie,\bcertified\b|\bCertified\b,FALSE
184,VERB,NA,realise,realise,\brealise\b|\brealised\b|\brealises\b|\brealising\b,FALSE
183,VERB,NA,flag,flag,\bflag\b|\bFlag\b|\bflagged\b|\bflags\b,FALSE
183,VERB,NA,specialize,specialize,\bspecialize\b|\bspecialized\b|\bspecializes\b|\bspecializing\b,FALSE
183,VERB,NA,notice,notice,\bnotice\b|\bNotice\b|\bnoticed\b|\bnotices\b|\bnoticing\b,FALSE
182,VERB,NA,contact,contact,\bcontact\b|\bContact\b|\bcontacted\b|\bcontacting\b|\bcontacts\b|\bContacts\b,FALSE
182,VERB,NA,replac,replac,\breplaced\b|\breplacing\b|\bReplacing\b,FALSE
181,VERB,NA,align,align,\balign\b|\baligned\b|\baligning\b|\baligns\b,FALSE
181,VERB,NA,specialise,specialise,\bspecialise\b|\bspecialised\b|\bspecialises\b|\bspecialising\b,FALSE
181,VERB,NA,channel,channel,\bchannel\b|\bChannel\b|\bchanneled\b|\bchanneling\b|\bchannelled\b|\bchannelling\b|\bchannels\b|\bChannels\b,FALSE
179,VERB,NA,ordere,ordere,\bordered\b,FALSE
179,VERB,NA,outline,outline,\boutline\b|\bOutline\b|\boutlined\b|\boutlines\b|\boutlining\b,FALSE
178,VERB,NA,discover,discover,\bdiscover\b|\bDiscover\b|\bdiscovered\b|\bdiscovering\b|\bdiscovers\b,FALSE
178,VERB,NA,analyze,analyze,\banalyze\b|\banalyzed\b|\banalyzes\b|\banalyzing\b,FALSE
178,VERB,NA,Copenhagen,Copenhagen,\bCopenhagen\b,FALSE
178,VERB,NA,interface,interface,\binterface\b|\bInterface\b|\binterfaced\b|\binterfaces\b,FALSE
177,VERB,NA,utilize,utilize,\butilize\b|\butilized\b|\butilizes\b|\butilizing\b,FALSE
177,VERB,NA,impress,impress,\bimpress\b|\bimpressed\b|\bImpressed\b,FALSE
177,VERB,NA,Based,Based,\bBased\b,FALSE
177,CONTRACT,NA,invite,invite,\binvite\b|\bInvite\b|\binvited\b|\bInvited\b|\binvitees\b|\binvites\b|\binviting\b,FALSE
176,VERB,NA,travel,travel,\btravel\b|\bTravel\b|\btraveled\b|\btraveling\b|\btravelled\b|\btravelling\b|\btravels\b,FALSE
174,VERB,NA,alternating,alternating,\balternating\b|\bAlternating\b,FALSE
174,VERB,NA,left,left,\bleft\b|\bLEFT\b,FALSE
173,VERB,NA,describe,describe,\bdescribe\b|\bdescribed\b|\bDescribed\b|\bdescribes\b|\bdescribing\b|\bDescribing\b,FALSE
172,VERB,NA,consiste,consiste,\bconsisting\b,FALSE
172,VERB,NA,consisting,consisting,\bconsisting\b,FALSE
171,VERB,NA,promising,promising,\bpromising\b,FALSE
170,VERB,NA,dredge,dredge,\bdredge\b|\bdredged\b|\bdredging\b,FALSE
169,VERB,NA,leverage,leverage,\bleverage\b|\bleveraged\b|\bleverages\b|\bleveraging\b,FALSE
169,VERB,NA,tailor,tailor,\btailor\b|\btailored\b|\btailoring\b,FALSE
167,VERB,NA,utilising,utilising,\butilising\b|\bUtilising\b,FALSE
167,COMPETITION,NA,eliminate,eliminate,\beliminate\b|\beliminated\b|\beliminates\b|\beliminating\b|\bEliminating\b,FALSE
167,VERB,NA,mitigate,mitigate,\bmitigate\b|\bmitigated\b|\bmitigates\b|\bmitigating\b|\bMitigating\b,FALSE
166,VERB,NA,commenced,commenced,\bcommenced\b,FALSE
165,VERB,NA,evolve,evolve,\bevolve\b|\bevolved\b|\bevolves\b|\bevolving\b,FALSE
162,VERB,NA,express,express,\bexpress\b|\bexpressed\b|\bexpresses\b|\bexpressing\b,FALSE
161,VERB,NA,evidence,evidence,\bevidence\b|\bEvidence\b|\bevidenced\b|\bevidences\b,FALSE
159,VERB,NA,beach,beach,\bbeach\b|\bBeach\b|\bbeached\b|\bbeaches\b,FALSE
158,VERB,NA,book,book,\bbook\b|\bBook\b|\bbooked\b|\bBooked\b|\bbooking\b|\bbooks\b,FALSE
157,VERB,NA,exit,exit,\bexit\b|\bexiting\b|\bexits\b,FALSE
155,VERB,NA,revealead,revealead,\brevealed\b,FALSE
153,VERB,NA,assign,assign,\bassign\b|\bassigned\b|\bAssigned\b|\bassigning\b|\bassigns\b,FALSE
153,VERB,NA,initiate,initiate,\binitiate\b|\binitiated\b|\bInitiated\b|\binitiates\b|\binitiating\b,FALSE
153,VERB,NA,prize,prize,\bprize\b|\bPrize\b|\bprized\b|\bprizes\b|\bPrizes\b,FALSE
152,VERB,NA,lost,lost,\blost\b|\bLOST\b,FALSE
151,VERB,NA,realize,realize,\brealize\b|\brealized\b|\brealizes\b|\brealizing\b|\bRealizing\b,FALSE
