"freq","class","sub_class","name","tooltip","alias","ignore"
261,"LOC",NA,"Rhode Island","Rhode Island","Rhode Island",FALSE
260,"LOC",NA,"New Jersey","New Jersey","New Jersey",FALSE
225,"LOC",NA,"North America","North America","North America",FALSE
160,"LOC",NA,"Nova Scotia","Nova Scotia","Nova Scotia",FALSE
127,"LOC",NA,"Island of Borkum","Island of Borkum","Island of Borkum",TRUE
116,"LOC",NA,"California","California","California",FALSE
100,"LOC",NA,"Port of Esbjerg","Port of Esbjerg","Port of Esbjerg",FALSE
100,"LOC",NA,"Isle of Wight","Isle of Wight","Isle of Wight",TRUE
86,"LOC",NA,"Asia Pacific","Asia Pacific","Asia Pacific",TRUE
75,"LOC",NA,"North Wales","North Wales","North Wales",FALSE
38,"LOC",NA,"COSCO Nantong Shipyard","COSCO Nantong Shipyard","COSCO( \(?Nan(t|T)ong\)?)?( (S|s)hipyard)?( \(COSCO\))?|\bCOSCO\b""",FALSE
36,"LOC",NA,"REBO","Renewable Energy Base Oostende","Renewable Energy Base Oostende( \(REBO\))?|\bREBO\b",FALSE
32,"LOC",NA,"BOW Terminal","BOW Terminal","BOW Terminal('s)?",FALSE
30,"LOC",NA,"North Norfolk","North Norfolk cosat","North Norfolk( coast)",FALSE
27,"LOC",NA,"Tamil Nadu","Tamil Nadu","Tamil Nadu",FALSE
27,"LOC",NA,"Abu Dhabi","Abu Dhabi","Abu Dhabi",FALSE
24,"LOC",NA,"Schleswig Holstein","Schleswig Holstein","Schleswig( |-)Holstein",FALSE
21,"LOC",NA,"Strangford Lough","Strangford Lough","Strangford Lough",FALSE
21,"LOC",NA,"Hvide Sande","Hvide Sande","Hvide Sande",FALSE
3359,"ORG","Turbine","SGRE","Siemens Gamesa","Siemens Gamesa( Renewable Energy)?|Siemens Wind Power( Service)?|Siemens(?!=( AG| Industry| Financial))|\bSGRE\b",FALSE
2370,"ORG","Developer","Orsted","Orsted/Dong","DONG Energy Wind Power|Dong Energy|\b(.rsted|DONG|Dong)\b",FALSE
1067,"ORG","PowerCo","TenneT","TenneT TSO GmbH","TenneT",FALSE
1025,"ORG","Turbine","MHI","MHI Vestas","MHI( |-)Vestas|\bMHI\b",FALSE
628,"ORG","Others","ABB","ABB Group","ABB Group|ABB Power Systems|\bABB\b",FALSE
612,"ORG","Turbine","GE","General Electric","GE Renewable Energy|(G|g)eneral (E|e)lectric|\bGE\b",FALSE
578,"ORG","PowerCo","E.ON","E.ON SE","E\.ON SE|E\.ON",FALSE
567,"ORG","Others","DNV-GL","DNV-GL Management Service","DNV( |-)GL|GL Garrad Hassan",FALSE
536,"ORG","Engineering","Van Oord","Van Oord","(V|v)an Oord",FALSE
496,"ORG","Engineering","Boskalis","Royal Boskalis Westminister N.V.","(VolkerWessels |Royal )?Boskalis( Marine Solutions| Westminster( NV| N\.V\.)?)?|\bV(B|S)MS\b",FALSE
493,"ORG","ShipBuil","Damen","Damen","Damen",FALSE
462,"ORG","PowerCo","RWE","RWE Innogy UK","RWE Innogy|RWE International SE|RWE Innogy UK|\bRWE\b",FALSE
388,"ORG","PowerCo","SSE","Scottish & Southern Energy","Scottish( &| and)? Southern (Energy|Electric)|\bSSE\b",FALSE
378,"ORG","Developer","Adwen/Areva","Adwen / Areva Wind GmbH","A(reva|dwen)( Wind)?( GmbH)?",TRUE
343,"ORG","Services","VBMS","VolkerWessels Boskalis Marine Solutions","Boskalis Subsea Cables & Flexibles|Boskalis Subsea Cables|VolkerWessels Boskalis Marine Solutions|\bVBMS\b|Visser & Smit Marine Contracting|\bVSMC\b",FALSE
339,"ORG","Cable","Nexans","Nexans","Nexans",FALSE
339,"ORG","PowerCo","National Grid","National Grid plc.","National Grid",FALSE
337,"ORG","Engineering","A2SEA","A2SEA","\bA2SEA\b",TRUE
334,"ORG","Engineering","DEME","DEME Group","\bDEME( Group)?\b",FALSE
321,"ORG","Engineering","GeoSea","GeoSea","\bGeoSea\b",FALSE
309,"ORG","PowerCo","EDF","EDF Energy Renewables","EDF(-| )EN|EDF( Energ(y|ies))?( Renewables)?",FALSE
309,"ORG","Services","CWind","CWind","CWind",FALSE
270,"ORG","Cable","JDR","JDR Cable Systems","JDR Cable Systems|\bJDR\b",FALSE
269,"ORG","Others","Ofgem E Serve","Ofgem E Serve","Ofgem E( |-)Serve |Ofgem",FALSE
265,"ORG","Turbine","Senvion","Senvion","Senvion",FALSE
261,"ORG","Consultant","EWE","EWE AG","\bEWE( AG\.?)?",FALSE
245,"ORG","Engineering","Olsen Windcarrier","Olsen Windcarrier","Olsen Windcarrier",FALSE
244,"ORG","Developer","SPR","ScottishPower Renewables","Scottish ?Power Renewables|\bSPR\b",FALSE
243,"ORG","Engineering","Jan De Nul","Jan De Nul Group","jan de nul( group)?",TRUE
241,"ORG","Engineering","GMS(L)","Global Marine Group","Global Marine( [A-Z][a-z]+)*|\bGMSL?\b",FALSE
240,"ORG","Services","Fugro NV","Fugro NV","Fugro NV | Fugro",TRUE
215,"ORG","Engineering","SHL","Seaway Heavy Lifting","Seaway Heavy Lifting|\bSHL\b",FALSE
204,"ORG","Cable","NKT","NKT (Holding) A/S","\bNKT\b",FALSE
196,"ORG","Others","Carnegie","Carnegie","Carnegie",FALSE
194,"ORG","Training","Maersk","Maersk Group","Maersk(?! Connector)",FALSE
194,"ORG","PowerCo","Eneco","Eneco","Eneco",FALSE
189,"ORG","Developer","CIP","Copenhagen Infrastructure Partners","(Copenhagen )?Infrastructure Partners|\bCIP\b",FALSE
180,"ORG","Others","Elia","Elia","Elia",FALSE
169,"ORG","Engineering","Heerema","Heerema","Heerema",FALSE
162,"ORG","Developer","Forewind","Forewind","Forewind",FALSE
149,"ORG","Services","Seacat Services","Seacat Services","Seacat Services",FALSE
147,"ORG","Others","OPT","Ocean Power Technologies","Ocean Power Technologies|\bOPT\b",FALSE
145,"ORG","Services","DeepOcean","DeepOcean","DeepOcean",FALSE
144,"ORG","Developer","Vineyard Wind","Vineyard Wind LLC","Vineyard Wind( LLC)?",FALSE
142,"ORG","Developer","Shell","Shell Group","Shell",FALSE
139,"ORG","Cable","Tekmar","Tekmar","Tekmar",FALSE
139,"ORG","Developer","RES","RES Group","RES Offshore|\bRES\b",FALSE
133,"ORG","Developer","EDP","EDP Renewable","EDP Ren\S+|\bEDPR?\b",FALSE
130,"ORG","Engineering","IHC","Royal IHC","Royal IHC|\bIHC\b",FALSE
123,"ORG","Services","EMO","EMS Maritime Offshore GmbH","EMS Maritime Offshore GmbH|EMS Maritime Offshore|\bEMO\b",FALSE
117,"ORG","Consultant","BMT","BMT Group","BMT Group|\bBMT\b",FALSE
117,"ORG","System","SeaPlanner","SeaPlanner","SeaPlanner",FALSE
116,"ORG","Blade","LM Wind Power","LM Wind Power","LM Wind Power",FALSE
116,"ORG","Equipment","Ampelmann","Ampelmann","Ampelmann",FALSE
115,"ORG","Foundation","Principle Power","Principle Power","Principle Power",FALSE
112,"ORG","PowerCo","REpower","REpower","REpower",FALSE
111,"ORG","Engineering","Acta Marine","Acta Marine","Acta Marine",FALSE
110,"ORG","Equipment","Pelamis","Pelamis Wave Power","Pelamis( Wave Power)?",FALSE
107,"ORG","Services","OMM","Offshore Marine Management","Offshore Marine Management|\bOMM\b",FALSE
104,"ORG","Services","ENGIE","ENGIE Fabricom","\bENGIE( Fabricom)?|GDF Suez|GDF SUEZ",FALSE
103,"ORG","Services","JFMS","James Fisher Marine Services","James Fisher Marine Services|\bJFMS\b",FALSE
103,"ORG","Consultant","Natural Power","Natural Power","Natural Power",FALSE
100,"ORG","Services","ESVAGT","ESVAGT","ESVAGT",FALSE
100,"ORG","Turbine","DCNS","Green Investment Bank UK","Naval Group|\bDCNS\b",FALSE
99,"ORG","Services","WINDEA","WINDEA OFFSHORE","W(INDEA|indea) ((O|o)ffshore)?|\bWINDEA\b",FALSE
98,"ORG","Engineering","Tidal Transit","Tidal Transit","Tidal Transit",TRUE
97,"ORG","Foundation","EEW-SPC","EEW Special Pipe Constructions","EEW( SPC| Special Pipe Constructions)?",FALSE
97,"ORG","Training","AIS","Automatic Identification System","Automated Information (S|s)ystem(s)?|\bAIS\b",FALSE
96,"ORG","Others","Wave Hub","Wave Hub","Wave Hub",FALSE
96,"ORG","Services","DBB","DBB Jack-Up Services","DBB Jack-Up Services|\bDBB\b",FALSE
